article,noun,translation,plural
DER ,LEHRLING,APRENDIZ,
DER ,METEOROLOGE,O METEOROLOGISTA,
DIE,METEOROLOGIN,A METEOROLOGISTA,
DER ,POET,O POETA,
DIE,POETIN,A POETA,
DER ,VOKAL,VOGAL,
DER ,SONNTAG,DOMINGO,
DER ,MONTAG,SEGUNDA,
DER ,DIENSTAG,TERÇA,
DER ,MITTWOCH,QUARTA,
DER ,DONNERSTAG,QUINTA,
DER ,FREITAG,SEXTA,
DER ,SAMSTAG,SÁBADO,
DAS,WOCHENENDE,FIM DE SEMANA,
DER ,FEIERTAG,FERIADO,
DIE,VERGANGENHEIT,PASSADO,
DIE,GEGENWART,PRESENTE,
DIE,ZUKUNFT,FUTURO,
DER ,SOMMER,VERÃO,
DER ,HERBST,OUTONO,
DER ,WINTER,INVERNO,
DER ,FRÜHLING,PRIMAVERA,
DER ,SCHNEE,NEVE,
DER ,SAPHIR,SAFIRA,
DER ,INGENIEUR,ENGENHEIRO,
DIE,INGENIEURIN,ENGENHEIRA,
DER ,BÄCKER,PADEIRO,
DIE,BÄCKERIN,PADEIRA,
DIE ,BÄCKEREI,PADARIA,
DER ,SPEZIALIST,O ESPECIALISTA,
DIE,SPEZIALISTIN,A ESPECIALISTA,
DER ,ORKAN,FURACÃO,
DER ,MORGEN,MANHÃ,
DER ,ABEND,"NOITE, TARDINHA",
DER ,TAG,DIA ,
DIE,NACHT ,NOITE ,
DER ,MOTOR ,MOTOR,
DIE,ROSE,ROSA,
DIE,BRILLE,ÓCULOS,
DIE,SONNENBRILLE,ÓCULOS DE SOL,
DIE,RICHNUNG,DIREÇÃO,
DIE,DISKOTHEK,DISCOTECA,
DIE,FREIHEIT,LIBERDADE,
DIE,GESELLSCHAFT,"COMPANHIA, EMPRESA, SOCIEDADE",
DIE,MIXTUR,MISTURA,
DIE,FUNKTION,FUNÇÃO,
DIE,NATIONALITÄT,NACIONALIDADE,
DIE,SCHWEINEREI,PORCARIA,
DIE,TOLERANZ,TOLERÂNCIA,
DIE,POLITIK,POLÍTICA,
DIE,EITELKEIT,VAIDADE,
DIE,PHILOSOPHIE,FOLOSOFIA,
DAS,GOLD,OURO,
DAS,SILBER,PRATA,
DAS,KUPFER,COBRE,
DAS,BROT,PÃO,
DAS,FRÄULEIN,SENHORITA,
DAS,SCHWARZ,PRETO,
DAS,KINO,CINEMA,
DAS,ROT,VERMELHO,
DAS,BLAU,AZUL,
DAS ,WEIß,BRANCO,
DAS ,GRÜN,VERDE,
DAS,GRAU,CINZA,
DAS,GELB,AMARELO,
DAS,ORANGE,LARANJA,
DAS,ROSA,ROSA,
DAS,BEIGE,BEGE,
DAS,LILA,ROXO,
DAS,BRAUN,MARROM,
DER ,NORDEN,NORTE,
DER ,SÜDEN,SUL,
DER ,OSTEN,LESTE,
DER ,WEST,OESTE,
DIE,TABLETTE,COMPRIMIDO,
DAS,WÖRTERBUCH,DICIONÁRIO,
DIE,BIBEL,BÍBLIA,
DER ,TERMINKALENDER,AGENDA,
DAS ,HANDY,CELULAR,
DIE,GELDBÖRSE,CARTEIRA,
DER ,SCHLÜSSEL,CHAVE,
DER ,LIPPENSTIFT,BATOM,
DAS,FOTO,FOTO,
DAS,PROBLEM,PROBLEMA,
DAS,HOTEL,HOTEL,
DAS ,RESTAURANT,RESTAURANTE,
DER ,IMBISS,SNACK BAR,
DIE,E-MAIL,E-MAIL,
DER ,TEXT,TEXTO,
DER ,PREIS,PREÇO,
DIE,NUMMER,NÚMERO,
DER ,KAFFEE,CAFÉ,
DER ,TEE,CHÁ,
DER ,GARTEN,JARDIM,
DER ,ROMAN,"NOVELA, ROMANCE",
DIE,ZIGARETTE,CIGARRO,
DIE,KARTE,CARTÃO,
DIE,KREDITKARTE,CARTÃO DE CRÉDITO,
DER ,DIALOG,DIÁLOGO,
DAS,GESPRÄCH,CONVERSA,
DER ,AKKUSATIV,ACUSATIVO,
DER ,NOMINATIV,NOMINATIVO,
DER ,GENITIV,GENITIVO,
DER ,DATIV,DATIVO,
DER ,KURS,CURSO,
DER ,COMPUTER,COMPUTADOR,
DER ,DRUCKER,IMPRESSORA,
DAS,DOKUMENT,DOCUMENTO,
DAS,TELEFON,TELEFONE,
DAS,FAXGERÄT,FAX,
DIE,KAFFEEMASCHINE,CAFETEIRA,
DER ,PAPIERKORB,CESTO DE PAPEL,
DER ,BILDSCHIRM,TELA COMPUTADOR,
DAS,KOPIERGERÄT,COPIADORA,
DER ,SCANNER,SCANNER,
DER ,TASCHENRECHNER,CALCULADORA,
DER ,VORNAME,NOME,
DER ,FAMILIENNAME,SOBRENOME,
DIE,MUTTERSPRACHE,LÍNGUA MATERNA,
DAS,ALPHABET,ALFABETO,
DER ,BUCHSTABE,LETRA  ,
DIE,LEUTE,"GENTE, PESSOAL, GALERA",
DAS,LAND,PAÍS,
DER ,KELLNER,GARÇOM,
DIE,KELLNERIN,GARÇONETE,
